Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Trip duration(mins),Time of day
4297,City,5,Trip Completed,14/07/2016 06:43,14/07/2016 07:49,67,Early Morning
5857,Airport,5,Trip Completed,15/07/2016 09:08,15/07/2016 10:07,58,Early Morning
6690,Airport,5,Trip Completed,15/07/2016 22:41,15/07/2016 23:51,69,Night
1517,Airport,6,Trip Completed,12/07/2016 05:45,12/07/2016 06:28,43,Early Morning
1999,Airport,6,Trip Completed,12/07/2016 13:02,12/07/2016 13:51,49,Daytime
2960,Airport,6,Trip Completed,13/07/2016 06:50,13/07/2016 07:40,50,Early Morning
3882,City,6,Trip Completed,13/07/2016 21:53,13/07/2016 22:45,52,Night
4081,Airport,6,Trip Completed,14/07/2016 02:37,14/07/2016 03:30,53,Night
4740,City,6,Trip Completed,14/07/2016 14:50,14/07/2016 15:38,48,Daytime
5270,City,6,Trip Completed,14/07/2016 21:33,14/07/2016 22:25,52,Night
6758,Airport,6,Trip Completed,15/07/2016 00:03,15/07/2016 01:07,64,Night
5741,City,6,Trip Completed,15/07/2016 07:52,15/07/2016 08:38,46,Early Morning
6087,Airport,6,Trip Completed,15/07/2016 14:28,15/07/2016 15:33,65,Daytime
1039,City,7,Trip Completed,11/07/2016 19:31,11/07/2016 20:41,70,Evening
1273,Airport,7,Trip Completed,11/07/2016 22:07,11/07/2016 23:12,65,Night
2480,City,7,Trip Completed,12/07/2016 20:39,12/07/2016 21:28,49,Night
4105,City,7,Trip Completed,14/07/2016 03:39,14/07/2016 04:39,59,Night
4509,City,7,Trip Completed,14/07/2016 09:11,14/07/2016 10:17,66,Early Morning
4986,Airport,7,Trip Completed,14/07/2016 18:52,14/07/2016 19:50,58,Evening
5898,City,7,Trip Completed,15/07/2016 09:50,15/07/2016 10:40,50,Early Morning
6142,Airport,7,Trip Completed,15/07/2016 15:50,15/07/2016 16:36,47,Daytime
380,Airport,8,Trip Completed,11/07/2016 08:18,11/07/2016 09:18,60,Early Morning
1050,Airport,8,Trip Completed,11/07/2016 19:39,11/07/2016 20:30,51,Evening
1769,City,8,Trip Completed,12/07/2016 08:57,12/07/2016 09:24,27,Early Morning
2520,City,8,Trip Completed,12/07/2016 21:05,12/07/2016 22:20,75,Night
3265,Airport,8,Trip Completed,13/07/2016 10:22,13/07/2016 11:07,45,Daytime
4648,City,8,Trip Completed,14/07/2016 11:55,14/07/2016 12:59,64,Daytime
449,Airport,9,Trip Completed,11/07/2016 09:08,11/07/2016 09:52,44,Early Morning
846,Airport,9,Trip Completed,11/07/2016 17:46,11/07/2016 18:52,66,Evening
1346,Airport,9,Trip Completed,11/07/2016 23:39,12/07/2016 00:23,44,Night
1474,Airport,9,Trip Completed,12/07/2016 05:13,12/07/2016 05:56,43,Early Morning
2240,City,9,Trip Completed,12/07/2016 18:20,12/07/2016 18:54,34,Evening
3072,Airport,9,Trip Completed,13/07/2016 08:04,13/07/2016 08:36,32,Early Morning
3459,Airport,9,Trip Completed,13/07/2016 17:03,13/07/2016 17:31,28,Evening
3774,Airport,9,Trip Completed,13/07/2016 20:41,13/07/2016 21:27,46,Night
4023,City,9,Trip Completed,13/07/2016 23:58,14/07/2016 00:58,60,Night
4117,City,9,Trip Completed,14/07/2016 04:21,14/07/2016 05:07,45,Early Morning
4880,Airport,9,Trip Completed,14/07/2016 17:58,14/07/2016 19:02,64,Evening
5568,Airport,9,Trip Completed,15/07/2016 05:47,15/07/2016 06:25,38,Early Morning
5994,Airport,9,Trip Completed,15/07/2016 11:51,15/07/2016 12:32,41,Daytime
1809,Airport,10,Trip Completed,12/07/2016 09:13,12/07/2016 10:01,48,Early Morning
2064,Airport,10,Trip Completed,12/07/2016 15:08,12/07/2016 16:14,66,Daytime
3210,City,10,Trip Completed,13/07/2016 09:47,13/07/2016 10:52,66,Early Morning
4350,City,10,Trip Completed,14/07/2016 07:24,14/07/2016 08:22,57,Early Morning
4713,City,10,Trip Completed,14/07/2016 13:31,14/07/2016 14:10,40,Daytime
5629,Airport,10,Trip Completed,15/07/2016 06:33,15/07/2016 07:19,47,Early Morning
6157,Airport,10,Trip Completed,15/07/2016 16:32,15/07/2016 17:44,72,Evening
2030,City,11,Trip Completed,12/07/2016 14:11,12/07/2016 15:02,51,Daytime
3226,City,11,Trip Completed,13/07/2016 10:00,13/07/2016 11:02,63,Daytime
3353,City,11,Trip Completed,13/07/2016 13:29,13/07/2016 14:09,39,Daytime
4293,City,11,Trip Completed,14/07/2016 06:42,14/07/2016 07:12,30,Early Morning
4936,City,11,Trip Completed,14/07/2016 18:22,14/07/2016 19:14,52,Evening
5661,Airport,11,Trip Completed,15/07/2016 07:08,15/07/2016 07:59,50,Early Morning
5778,City,11,Trip Completed,15/07/2016 08:22,15/07/2016 09:13,51,Early Morning
6425,Airport,11,Trip Completed,15/07/2016 19:46,15/07/2016 20:26,40,Evening
45,Airport,12,Trip Completed,11/07/2016 03:17,11/07/2016 04:09,52,Night
264,City,12,Trip Completed,11/07/2016 06:51,11/07/2016 07:40,49,Early Morning
1183,City,12,Trip Completed,11/07/2016 21:05,11/07/2016 21:38,33,Night
1536,Airport,12,Trip Completed,12/07/2016 05:59,12/07/2016 06:59,60,Early Morning
2437,City,12,Trip Completed,12/07/2016 20:18,12/07/2016 21:26,68,Night
2641,Airport,12,Trip Completed,12/07/2016 22:28,12/07/2016 23:05,37,Night
4077,Airport,12,Trip Completed,14/07/2016 02:14,14/07/2016 03:13,59,Night
4610,City,12,Trip Completed,14/07/2016 10:35,14/07/2016 11:39,64,Daytime
5066,Airport,12,Trip Completed,14/07/2016 19:31,14/07/2016 20:14,43,Evening
5666,Airport,12,Trip Completed,15/07/2016 07:04,15/07/2016 08:12,68,Early Morning
5923,City,12,Trip Completed,15/07/2016 10:07,15/07/2016 10:50,43,Daytime
6367,City,12,Trip Completed,15/07/2016 19:04,15/07/2016 19:46,41,Evening
155,City,13,Trip Completed,11/07/2016 05:32,11/07/2016 06:28,56,Early Morning
310,Airport,13,Trip Completed,11/07/2016 07:24,11/07/2016 08:28,64,Early Morning
607,City,13,Trip Completed,11/07/2016 11:51,11/07/2016 12:42,51,Daytime
1012,City,13,Trip Completed,11/07/2016 19:15,11/07/2016 19:57,42,Evening
1696,Airport,13,Trip Completed,12/07/2016 08:01,12/07/2016 08:42,41,Early Morning
3076,City,13,Trip Completed,13/07/2016 08:09,13/07/2016 09:12,63,Early Morning
4198,Airport,13,Trip Completed,14/07/2016 05:32,14/07/2016 06:45,73,Early Morning
4627,City,13,Trip Completed,14/07/2016 11:13,14/07/2016 12:00,47,Daytime
5289,City,13,Trip Completed,14/07/2016 21:43,14/07/2016 22:24,41,Night
5495,Airport,13,Trip Completed,15/07/2016 05:00,15/07/2016 06:02,62,Early Morning
6656,Airport,13,Trip Completed,15/07/2016 22:08,15/07/2016 22:41,33,Night
139,Airport,14,Trip Completed,11/07/2016 05:21,11/07/2016 06:09,48,Early Morning
215,City,14,Trip Completed,11/07/2016 06:15,11/07/2016 07:07,52,Early Morning
1816,City,14,Trip Completed,12/07/2016 09:24,12/07/2016 10:07,43,Early Morning
2505,Airport,14,Trip Completed,12/07/2016 21:03,12/07/2016 22:14,71,Night
3346,City,14,Trip Completed,13/07/2016 13:01,13/07/2016 13:55,54,Daytime
5294,City,14,Trip Completed,14/07/2016 21:45,14/07/2016 22:16,31,Night
6226,Airport,14,Trip Completed,15/07/2016 17:34,15/07/2016 18:33,59,Evening
6733,Airport,14,Trip Completed,15/07/2016 23:32,16/07/2016 00:37,65,Night
1027,Airport,15,Trip Completed,11/07/2016 19:18,11/07/2016 20:24,66,Evening
2675,Airport,15,Trip Completed,12/07/2016 23:43,13/07/2016 00:35,52,Night
3200,City,15,Trip Completed,13/07/2016 09:39,13/07/2016 10:30,51,Early Morning
3865,City,15,Trip Completed,13/07/2016 21:52,13/07/2016 22:21,29,Night
4468,City,15,Trip Completed,14/07/2016 08:42,14/07/2016 09:22,39,Early Morning
5163,Airport,15,Trip Completed,14/07/2016 20:34,14/07/2016 21:05,31,Night
6009,City,15,Trip Completed,15/07/2016 12:22,15/07/2016 13:25,63,Daytime
6448,Airport,15,Trip Completed,15/07/2016 20:02,15/07/2016 20:40,38,Night
591,City,16,Trip Completed,11/07/2016 11:25,11/07/2016 12:31,66,Daytime
709,City,16,Trip Completed,11/07/2016 14:16,11/07/2016 15:03,47,Daytime
1167,Airport,16,Trip Completed,11/07/2016 20:50,11/07/2016 21:52,62,Night
2661,Airport,16,Trip Completed,12/07/2016 23:23,13/07/2016 00:27,64,Night
2808,City,16,Trip Completed,13/07/2016 05:05,13/07/2016 05:56,51,Early Morning
3258,Airport,16,Trip Completed,13/07/2016 10:12,13/07/2016 10:45,33,Daytime
3413,Airport,16,Trip Completed,13/07/2016 15:32,13/07/2016 16:45,74,Daytime
3939,Airport,16,Trip Completed,13/07/2016 22:26,13/07/2016 22:55,29,Night
4125,City,16,Trip Completed,14/07/2016 04:37,14/07/2016 05:46,69,Early Morning
4457,City,16,Trip Completed,14/07/2016 08:36,14/07/2016 09:19,43,Early Morning
4728,City,16,Trip Completed,14/07/2016 14:04,14/07/2016 15:06,62,Daytime
5347,Airport,16,Trip Completed,14/07/2016 22:51,14/07/2016 23:53,62,Night
6147,City,16,Trip Completed,15/07/2016 16:11,15/07/2016 17:30,79,Evening
6496,Airport,16,Trip Completed,15/07/2016 20:33,15/07/2016 21:32,60,Night
634,City,17,Trip Completed,11/07/2016 12:25,11/07/2016 13:06,41,Daytime
939,Airport,17,Trip Completed,11/07/2016 18:25,11/07/2016 19:26,61,Evening
2628,Airport,17,Trip Completed,12/07/2016 22:10,12/07/2016 23:25,75,Night
3021,City,17,Trip Completed,13/07/2016 07:33,13/07/2016 08:26,53,Early Morning
4743,City,17,Trip Completed,14/07/2016 14:54,14/07/2016 15:39,45,Daytime
4981,City,17,Trip Completed,14/07/2016 18:47,14/07/2016 19:43,56,Evening
5367,Airport,17,Trip Completed,14/07/2016 23:35,15/07/2016 00:25,50,Night
5471,Airport,17,Trip Completed,15/07/2016 04:48,15/07/2016 05:47,58,Early Morning
5988,Airport,17,Trip Completed,15/07/2016 11:48,15/07/2016 12:55,66,Daytime
6477,Airport,17,Trip Completed,15/07/2016 20:21,15/07/2016 21:00,39,Night
499,City,18,Trip Completed,11/07/2016 09:39,11/07/2016 10:16,37,Early Morning
1147,Airport,18,Trip Completed,11/07/2016 20:42,11/07/2016 21:18,36,Night
1410,Airport,18,Trip Completed,12/07/2016 03:14,12/07/2016 04:27,73,Night
1804,Airport,18,Trip Completed,12/07/2016 09:12,12/07/2016 09:57,45,Early Morning
1949,Airport,18,Trip Completed,12/07/2016 11:32,12/07/2016 12:13,41,Daytime
2713,City,18,Trip Completed,13/07/2016 01:46,13/07/2016 02:37,50,Night
2845,City,18,Trip Completed,13/07/2016 05:28,13/07/2016 06:10,42,Early Morning
3943,Airport,18,Trip Completed,13/07/2016 22:35,13/07/2016 23:33,58,Night
4792,City,18,Trip Completed,14/07/2016 16:47,14/07/2016 17:34,47,Evening
5207,Airport,18,Trip Completed,14/07/2016 20:57,14/07/2016 21:56,59,Night
5890,City,18,Trip Completed,15/07/2016 09:43,15/07/2016 10:55,71,Early Morning
494,City,19,Trip Completed,11/07/2016 09:36,11/07/2016 10:02,26,Early Morning
1485,City,19,Trip Completed,12/07/2016 05:21,12/07/2016 06:35,74,Early Morning
2042,City,19,Trip Completed,12/07/2016 14:30,12/07/2016 15:09,39,Daytime
2561,Airport,19,Trip Completed,12/07/2016 21:29,12/07/2016 22:44,75,Night
3813,Airport,19,Trip Completed,13/07/2016 21:06,13/07/2016 21:46,39,Night
4260,Airport,19,Trip Completed,14/07/2016 06:11,14/07/2016 06:59,48,Early Morning
4395,City,19,Trip Completed,14/07/2016 08:00,14/07/2016 08:54,54,Early Morning
5919,City,19,Trip Completed,15/07/2016 10:03,15/07/2016 10:59,56,Daytime
6002,Airport,19,Trip Completed,15/07/2016 12:04,15/07/2016 12:53,49,Daytime
468,City,20,Trip Completed,11/07/2016 09:20,11/07/2016 10:05,45,Early Morning
693,Airport,20,Trip Completed,11/07/2016 13:51,11/07/2016 15:01,70,Daytime
1178,City,20,Trip Completed,11/07/2016 21:05,11/07/2016 22:06,61,Night
2103,City,20,Trip Completed,12/07/2016 16:08,12/07/2016 17:18,70,Evening
2292,Airport,20,Trip Completed,12/07/2016 18:46,12/07/2016 19:23,37,Evening
3339,City,20,Trip Completed,13/07/2016 12:40,13/07/2016 13:30,49,Daytime
3694,City,20,Trip Completed,13/07/2016 19:33,13/07/2016 20:35,62,Evening
4469,City,20,Trip Completed,14/07/2016 08:45,14/07/2016 09:48,63,Early Morning
6432,City,20,Trip Completed,15/07/2016 19:50,15/07/2016 20:30,39,Evening
1895,City,21,Trip Completed,12/07/2016 10:20,12/07/2016 10:52,32,Daytime
1981,Airport,21,Trip Completed,12/07/2016 12:23,12/07/2016 12:56,33,Daytime
3744,Airport,21,Trip Completed,13/07/2016 20:28,13/07/2016 21:22,55,Night
4433,Airport,21,Trip Completed,14/07/2016 08:26,14/07/2016 09:12,46,Early Morning
6039,Airport,21,Trip Completed,15/07/2016 13:11,15/07/2016 13:38,27,Daytime
6543,City,21,Trip Completed,15/07/2016 20:54,15/07/2016 22:12,78,Night
110,City,22,Trip Completed,11/07/2016 05:05,11/07/2016 06:06,61,Early Morning
362,City,22,Trip Completed,11/07/2016 08:01,11/07/2016 09:18,77,Early Morning
666,Airport,22,Trip Completed,11/07/2016 13:02,11/07/2016 13:45,43,Daytime
926,City,22,Trip Completed,11/07/2016 18:28,11/07/2016 19:34,66,Evening
1180,Airport,22,Trip Completed,11/07/2016 21:01,11/07/2016 22:14,73,Night
1900,City,22,Trip Completed,12/07/2016 10:32,12/07/2016 11:42,70,Daytime
2506,City,22,Trip Completed,12/07/2016 21:01,12/07/2016 21:38,37,Night
3064,City,22,Trip Completed,13/07/2016 08:02,13/07/2016 08:58,57,Early Morning
3327,Airport,22,Trip Completed,13/07/2016 12:24,13/07/2016 13:23,59,Daytime
3601,City,22,Trip Completed,13/07/2016 18:39,13/07/2016 19:29,50,Evening
4768,Airport,22,Trip Completed,14/07/2016 15:39,14/07/2016 16:49,70,Daytime
5142,City,22,Trip Completed,14/07/2016 20:17,14/07/2016 20:48,31,Night
5366,Airport,22,Trip Completed,14/07/2016 23:27,15/07/2016 00:19,52,Night
5575,City,22,Trip Completed,15/07/2016 05:53,15/07/2016 06:50,56,Early Morning
5902,City,22,Trip Completed,15/07/2016 09:52,15/07/2016 10:37,44,Early Morning
6694,Airport,22,Trip Completed,15/07/2016 22:45,15/07/2016 23:17,32,Night
523,Airport,23,Trip Completed,11/07/2016 09:48,11/07/2016 10:37,49,Early Morning
747,City,23,Trip Completed,11/07/2016 15:53,11/07/2016 16:43,50,Daytime
1371,Airport,23,Trip Completed,12/07/2016 00:22,12/07/2016 01:33,71,Night
1553,City,23,Trip Completed,12/07/2016 06:09,12/07/2016 07:09,60,Early Morning
1692,Airport,23,Trip Completed,12/07/2016 07:52,12/07/2016 09:01,69,Early Morning
2114,City,23,Trip Completed,12/07/2016 16:36,12/07/2016 17:21,45,Evening
2742,City,23,Trip Completed,13/07/2016 03:07,13/07/2016 03:51,44,Night
4273,City,23,Trip Completed,14/07/2016 06:17,14/07/2016 07:02,45,Early Morning
4668,City,23,Trip Completed,14/07/2016 12:25,14/07/2016 13:34,70,Daytime
5425,City,23,Trip Completed,15/07/2016 02:23,15/07/2016 03:08,45,Night
5488,City,23,Trip Completed,15/07/2016 04:53,15/07/2016 06:00,67,Early Morning
5781,City,23,Trip Completed,15/07/2016 08:35,15/07/2016 09:42,67,Early Morning
5966,Airport,23,Trip Completed,15/07/2016 10:54,15/07/2016 11:58,64,Daytime
6122,City,23,Trip Completed,15/07/2016 15:26,15/07/2016 16:29,64,Daytime
357,Airport,24,Trip Completed,11/07/2016 08:00,11/07/2016 09:08,68,Early Morning
1068,City,24,Trip Completed,11/07/2016 19:52,11/07/2016 20:48,56,Evening
2689,Airport,24,Trip Completed,13/07/2016 00:34,13/07/2016 01:49,75,Night
2791,City,24,Trip Completed,13/07/2016 04:56,13/07/2016 05:33,37,Early Morning
3321,City,24,Trip Completed,13/07/2016 12:23,13/07/2016 13:25,62,Daytime
3423,Airport,24,Trip Completed,13/07/2016 15:52,13/07/2016 16:50,59,Daytime
3761,Airport,24,Trip Completed,13/07/2016 20:35,13/07/2016 21:39,64,Night
4140,City,24,Trip Completed,14/07/2016 04:48,14/07/2016 06:05,77,Early Morning
4656,City,24,Trip Completed,14/07/2016 12:06,14/07/2016 12:49,43,Daytime
4931,Airport,24,Trip Completed,14/07/2016 18:21,14/07/2016 18:54,32,Evening
5268,City,24,Trip Completed,14/07/2016 21:29,14/07/2016 22:30,61,Night
5811,City,24,Trip Completed,15/07/2016 08:46,15/07/2016 09:26,40,Early Morning
6139,Airport,24,Trip Completed,15/07/2016 15:45,15/07/2016 16:40,55,Daytime
6333,Airport,24,Trip Completed,15/07/2016 18:41,15/07/2016 19:53,72,Evening
773,City,25,Trip Completed,11/07/2016 16:23,11/07/2016 17:21,58,Evening
1123,City,25,Trip Completed,11/07/2016 20:20,11/07/2016 21:18,58,Night
2667,Airport,25,Trip Completed,12/07/2016 23:35,13/07/2016 00:40,66,Night
2833,City,25,Trip Completed,13/07/2016 05:27,13/07/2016 06:19,52,Early Morning
3396,City,25,Trip Completed,13/07/2016 14:59,13/07/2016 15:57,58,Daytime
3590,City,25,Trip Completed,13/07/2016 18:31,13/07/2016 19:31,60,Evening
3762,City,25,Trip Completed,13/07/2016 20:38,13/07/2016 21:21,43,Night
4566,City,25,Trip Completed,14/07/2016 09:48,14/07/2016 10:22,34,Early Morning
4862,City,25,Trip Completed,14/07/2016 17:37,14/07/2016 18:41,64,Evening
5564,Airport,25,Trip Completed,15/07/2016 05:41,15/07/2016 06:53,72,Early Morning
6187,City,25,Trip Completed,15/07/2016 17:11,15/07/2016 18:08,57,Evening
6642,City,25,Trip Completed,15/07/2016 22:07,15/07/2016 22:54,47,Night
322,City,26,Trip Completed,11/07/2016 07:31,11/07/2016 08:10,39,Early Morning
793,City,26,Trip Completed,11/07/2016 17:04,11/07/2016 18:06,62,Evening
898,Airport,26,Trip Completed,11/07/2016 18:14,11/07/2016 19:09,55,Evening
1258,City,26,Trip Completed,11/07/2016 21:51,11/07/2016 23:00,69,Night
2832,City,26,Trip Completed,13/07/2016 05:20,13/07/2016 06:14,54,Early Morning
3139,City,26,Trip Completed,13/07/2016 08:54,13/07/2016 09:22,29,Early Morning
3438,City,26,Trip Completed,13/07/2016 16:12,13/07/2016 17:13,61,Evening
3966,Airport,26,Trip Completed,13/07/2016 22:50,13/07/2016 23:27,37,Night
6401,Airport,26,Trip Completed,15/07/2016 19:33,15/07/2016 20:16,44,Evening
204,City,27,Trip Completed,11/07/2016 06:04,11/07/2016 06:44,40,Early Morning
632,Airport,27,Trip Completed,11/07/2016 12:20,11/07/2016 13:10,50,Daytime
763,City,27,Trip Completed,11/07/2016 16:19,11/07/2016 17:25,66,Evening
1786,Airport,27,Trip Completed,12/07/2016 09:03,12/07/2016 09:58,55,Early Morning
1968,City,27,Trip Completed,12/07/2016 12:10,12/07/2016 12:49,39,Daytime
2088,Airport,27,Trip Completed,12/07/2016 15:51,12/07/2016 17:02,71,Daytime
2473,Airport,27,Trip Completed,12/07/2016 20:43,12/07/2016 21:20,37,Night
2869,Airport,27,Trip Completed,13/07/2016 05:50,13/07/2016 06:27,37,Early Morning
3742,Airport,27,Trip Completed,13/07/2016 20:24,13/07/2016 20:48,24,Night
4440,Airport,27,Trip Completed,14/07/2016 08:26,14/07/2016 09:00,34,Early Morning
5234,City,27,Trip Completed,14/07/2016 21:09,14/07/2016 21:52,43,Night
6354,Airport,27,Trip Completed,15/07/2016 18:59,15/07/2016 19:35,36,Evening
6638,City,27,Trip Completed,15/07/2016 21:59,15/07/2016 23:13,74,Night
84,City,28,Trip Completed,11/07/2016 04:50,11/07/2016 05:26,36,Early Morning
1199,City,28,Trip Completed,11/07/2016 21:17,11/07/2016 21:53,36,Night
1676,Airport,28,Trip Completed,12/07/2016 07:44,12/07/2016 08:40,56,Early Morning
2774,City,28,Trip Completed,13/07/2016 04:33,13/07/2016 05:13,40,Early Morning
3220,Airport,28,Trip Completed,13/07/2016 09:51,13/07/2016 10:24,33,Early Morning
3718,Airport,28,Trip Completed,13/07/2016 19:56,13/07/2016 20:47,51,Evening
4904,Airport,28,Trip Completed,14/07/2016 18:02,14/07/2016 18:58,56,Evening
6527,Airport,28,Trip Completed,15/07/2016 20:54,15/07/2016 21:53,59,Night
6710,City,28,Trip Completed,15/07/2016 23:02,16/07/2016 00:12,70,Night
1584,Airport,29,Trip Completed,12/07/2016 06:26,12/07/2016 07:18,52,Early Morning
1966,Airport,29,Trip Completed,12/07/2016 12:05,12/07/2016 13:12,67,Daytime
2827,City,29,Trip Completed,13/07/2016 05:18,13/07/2016 06:18,60,Early Morning
2945,Airport,29,Trip Completed,13/07/2016 06:34,13/07/2016 07:28,54,Early Morning
3365,City,29,Trip Completed,13/07/2016 13:47,13/07/2016 14:51,65,Daytime
3548,Airport,29,Trip Completed,13/07/2016 18:07,13/07/2016 19:12,65,Evening
3753,City,29,Trip Completed,13/07/2016 20:30,13/07/2016 21:42,72,Night
4569,Airport,29,Trip Completed,14/07/2016 09:48,14/07/2016 10:49,61,Early Morning
6309,Airport,29,Trip Completed,15/07/2016 18:29,15/07/2016 19:42,72,Evening
6437,City,29,Trip Completed,15/07/2016 19:53,15/07/2016 20:26,33,Evening
517,Airport,30,Trip Completed,11/07/2016 09:45,11/07/2016 10:24,39,Early Morning
1406,Airport,30,Trip Completed,12/07/2016 03:02,12/07/2016 03:55,53,Night
1643,Airport,30,Trip Completed,12/07/2016 07:18,12/07/2016 08:10,52,Early Morning
2108,Airport,30,Trip Completed,12/07/2016 16:14,12/07/2016 16:48,34,Evening
2647,City,30,Trip Completed,12/07/2016 22:46,12/07/2016 23:18,32,Night
3129,City,30,Trip Completed,13/07/2016 08:41,13/07/2016 09:41,60,Early Morning
3738,Airport,30,Trip Completed,13/07/2016 20:15,13/07/2016 20:55,39,Night
4422,Airport,30,Trip Completed,14/07/2016 08:13,14/07/2016 09:13,60,Early Morning
4790,City,30,Trip Completed,14/07/2016 16:43,14/07/2016 17:56,72,Evening
5496,City,30,Trip Completed,15/07/2016 04:59,15/07/2016 05:34,34,Early Morning
6484,Airport,30,Trip Completed,15/07/2016 20:19,15/07/2016 21:01,42,Night
6731,Airport,30,Trip Completed,15/07/2016 23:23,16/07/2016 00:11,48,Night
629,Airport,31,Trip Completed,11/07/2016 12:14,11/07/2016 13:00,46,Daytime
745,Airport,31,Trip Completed,11/07/2016 15:48,11/07/2016 16:45,57,Daytime
1064,City,31,Trip Completed,11/07/2016 19:53,11/07/2016 20:31,38,Evening
1886,Airport,31,Trip Completed,12/07/2016 10:10,12/07/2016 10:35,25,Daytime
5608,Airport,31,Trip Completed,15/07/2016 06:18,15/07/2016 07:07,49,Early Morning
5877,City,31,Trip Completed,15/07/2016 09:37,15/07/2016 10:08,31,Early Morning
6100,Airport,31,Trip Completed,15/07/2016 14:44,15/07/2016 15:41,57,Daytime
6659,Airport,31,Trip Completed,15/07/2016 22:15,15/07/2016 23:07,52,Night
2162,Airport,32,Trip Completed,12/07/2016 17:34,12/07/2016 18:33,59,Evening
3294,Airport,32,Trip Completed,13/07/2016 11:23,13/07/2016 12:14,50,Daytime
3686,City,32,Trip Completed,13/07/2016 19:33,13/07/2016 20:34,61,Evening
